Step,Phase,Task,Detailed Instructions,Link / Resource,Timeframe,Owner,Status,Notes
57,Phase 11 - Multi-Origin Support,Curated origin list (12 airports),JFK LAX ORD ATL DFW SFO MIA IAD EWR SEA IAH BOS.,N/A,Decided,Coby,DONE,
58,Phase 11 - Multi-Origin Support,Contact Travelpayouts - confirm actual rate limit,,https://support.travelpayouts.com/,Blocking,Coby,STILL OPEN - YOUR CONFIRMED EXCEPTION,Do this before increasing origin count or fetch frequency beyond what's already running
59,Phase 11 - Multi-Origin Support,Redesign price history schema - composite key,,N/A,Day 9-10,Coby,DONE (per your summary),Worth spot-checking that JFK and a second origin's history for the same destination are genuinely tracked separately not blended
60,Phase 11 - Multi-Origin Support,Update fetch script for the origin loop,,N/A,Day 10-11,Coby,DONE (per your summary),
61,Phase 11 - Multi-Origin Support,Update ranking script for per-origin output,,N/A,Day 11-12,Coby,DONE (per your summary),
62,Phase 11 - Multi-Origin Support,Update frontend - origin selector,,N/A,Day 12-13,Coby,DONE (per your summary),
63,Phase 11 - Multi-Origin Support,Test 2-3 origins end to end before full rollout,,N/A,Day 13,Coby,DONE (per your summary),
64,Phase 12 - Tiered Refresh Cadence,Two-pipeline approach decided,Hourly fetch (paid) + separate daily delayed-view compile (free) - no duplicate API calls.,N/A,Decided,Coby,NOT STARTED,Not mentioned as built - Phase 12 begins here
65,Phase 12 - Tiered Refresh Cadence,Fix trailing-average calculation for hourly sampling,,N/A,N/A,Coby,NOT STARTED,
66,Phase 12 - Tiered Refresh Cadence,Tighten stale-fallback display threshold,,N/A,N/A,Coby,NOT STARTED,
67,Phase 12 - Tiered Refresh Cadence,Build the free/paid serving-layer split,,N/A,N/A,Coby,NOT STARTED,
68,Phase 13 - Supporting Features,Add a 'departing soon' alert category,,N/A,After Phase 12,Coby,NOT STARTED,
69,Phase 13 - Supporting Features,Revisit TrustedHousesitters application,,N/A,After signups accumulate,Coby,NOT STARTED,
70,Phase 14 - Monetization (deferred),Defer payment/billing build,Deliberate - do not build until free-tier traction is validated.,N/A,After Phases 10-13 live,Coby,DEFERRED - INTENTIONAL,
